,OFIX
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.5897435897435896
Growth 2yr High Est,0.9333333333333333
Growth 2yr Consensus Est,0.7615384615384615
Growth 5yr Low Est,0.5897435897435896
Growth 5yr High Est,0.9333333333333333
Growth 5yr Consensus Est,0.7615384615384615
Growth 5yr Actual/Est,0.4496291360909301
Growth 3yr Historic,0.3711407639979068
