,OFIX
Price/Earnings (TTM),
Price/Sales (TTM),0.74124
Price/Book (MRQ),1.02993
Price/Cash Flow (TTM),
5yr Low,13.76
5yr High,74.44
5yr Avg Return,-0.15651666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.025371800000000003
Dividend Growth 5yr,
Short Int Current Month,1004977.0
Short Int Prev Month,981196.0
Short Int Pct of Float,0.0510395
Days to Cover,3.92243
Float,19.69016
Shares Outstanding,20.0116
Institutions Holding Shares,214.0
% Held by Institutions,0.993079
FCF Growth 5yr,1.916667262394993
