,HTBI
Price/Earnings (TTM),11.43227
Price/Sales (TTM),2.54777
Price/Book (MRQ),0.98949
Price/Cash Flow (TTM),8.95807
5yr Low,11.75
5yr High,32.6
5yr Avg Return,0.026366666666666667
EPS Growth 5yr,0.2790482
Revenue Growth 5yr,0.0314975
Dividend Growth 5yr,
Short Int Current Month,87888.0
Short Int Prev Month,117014.0
Short Int Pct of Float,0.0062900000000000005
Days to Cover,1.81967
Float,13.98244
Shares Outstanding,15.62805
Institutions Holding Shares,140.0
% Held by Institutions,0.5881839999999999
FCF Growth 5yr,0.28456563462867496
