,JBL
% Below High,0.020499999999999997
% Held by Institutions,0.9002
52-Wk Range,['48.80 - 72.11']
Annual Dividend $,0.32
Annual Dividend %,0.0045000000000000005
Ask,76.83
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.4
Bid,66.09
Bid Size,200.0
Closing Price,70.63
Day Change $,0.18
Day Change %,0.0026
Day High,70.84
Day Low,70.1
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",6.92
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.375
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,9.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.21
Prev Close,70.45
Shares Outstanding,134.6M
Short Interest,0.0189
Today's Open,70.17
Volume,264732.0
Volume 10-day Avg,1325440.0
Volume Past Day,(Light)
