,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Neutral,-0.36,,,-0.41,,-0.35,,-0.38,-0.36,,
Year ending 12/2020,Negative Surprise,-1.58,,3.3888888888888893,,0.0,,0.0,-0.36,-1.58,3.3888888888888893,0.0
Year ending 12/2021,Negative Surprise,-0.82,,-0.4810126582278481,,0.0,,0.0,-0.57,-0.82,-0.4810126582278481,0.0
Year ending 12/2022,Neutral,,-1.02,0.0,-1.19,1.9024390243902438,-0.1,-0.7142857142857142,-1.02,-1.02,0.24390243902439024,0.5940766550522648
Year ending 12/2023,Neutral,,-0.63,0.0,-0.82,-0.31092436974789917,-0.27,1.7000000000000002,-0.63,-0.63,-0.38235294117647056,0.6945378151260505
