,PLUG
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,1.9024390243902438
Growth 1yr High Est,-0.7142857142857142
Growth 1yr Consensus Est,0.5940766550522648
Growth 2yr Low Est,0.7957573273211723
Growth 2yr High Est,0.492857142857143
Growth 2yr Consensus Est,0.6443072350891577
Growth 5yr Low Est,0.39787866366058616
Growth 5yr High Est,0.2464285714285715
Growth 5yr Consensus Est,0.32215361754457883
Growth 5yr Actual/Est,0.6923564321272403
Growth 3yr Historic,0.7269690576652603
