,PLUG
Price/Earnings (TTM),
Price/Sales (TTM),14.26864
Price/Book (MRQ),2.16295
Price/Cash Flow (TTM),
5yr Low,0.9892
5yr High,75.49
5yr Avg Return,1.6634166666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.4235508
Dividend Growth 5yr,
Short Int Current Month,73511020.0
Short Int Prev Month,72039036.0
Short Int Pct of Float,0.1406134
Days to Cover,3.6463
Float,522.9249
Shares Outstanding,582.9044
Institutions Holding Shares,857.0
% Held by Institutions,0.571888
FCF Growth 5yr,0.3286872381680623
