,PLUG
% Above Low,0.20750000000000002
% Held by Institutions,0.5719
52-Wk Range,['12.70 - 41.91']
Annual Dividend $,
Annual Dividend %,
Ask,15.34
Ask Size,1800.0
B/A Ratio,1.0
B/A Size,1800x1800
Beta,1.6
Bid,15.33
Bid Size,1800.0
Day Change $,-0.395
Day Change %,-0.025099999999999997
Day High,15.8
Day Low,15.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.2
Ex-dividend Date,No dividend
Historical Volatility,0.863
Last (size),100.0
Last (time),11:04a ET 11/28/22
Market Cap,8.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,15.73
Price,15.34
Shares Outstanding,582.9M
Short Interest,0.1406
Today's Open,15.55
Volume Past Day,(Light)
