,LHX
Price/Earnings (TTM),39.77991
Price/Sales (TTM),2.58651
Price/Book (MRQ),2.38307
Price/Cash Flow (TTM),20.96356
5yr Low,123.24
5yr High,279.71
5yr Avg Return,0.09601666666666668
Short Int Current Month,2343144.0
Short Int Prev Month,2654581.0
Short Int Pct of Float,0.0123703
Days to Cover,1.39513
Float,189.5133
Shares Outstanding,190.4028
Institutions Holding Shares,1443.0
% Held by Institutions,0.7929980000000001
FCF Growth 5yr,-14.387799677893268
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
