,MTZ
% Below High,0.08839999999999999
% Held by Institutions,0.7603
52-Wk Range,['62.36 - 99.63']
Annual Dividend $,
Annual Dividend %,
Ask,98.84
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.4
Bid,87.26
Bid Size,200.0
Closing Price,90.82
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.43
Ex-dividend Date,No dividend
Historical Volatility,0.444
Last (size),239.0
Last (time),5:00p ET 11/25/22
Market Cap,7.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",63.34
Prev Close,90.82
Shares Outstanding,78.2M
Short Interest,0.0347
Today's Open,
Volume,244516.0
Volume 10-day Avg,586508.0
Volume Past Day,(Light)
