,MTZ
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.4454713493530499
Growth 1yr High Est,-0.4347048300536672
Growth 1yr Consensus Est,-0.44008808970335855
Growth 2yr Low Est,0.03559765865680836
Growth 2yr High Est,0.17663492674531828
Growth 2yr Consensus Est,0.10611629270106332
Growth 5yr Low Est,0.030790358460687256
Growth 5yr High Est,0.10717788473073794
Growth 5yr Consensus Est,0.0689841215957126
Growth 5yr Actual/Est,0.07861490199014193
Growth 3yr Historic,0.018195664667149974
