,DUOL
% Above Low,0.1519
% Held by Institutions,0.8029000000000001
52-Wk Range,['60.50 - 124.90']
Annual Dividend $,
Annual Dividend %,
Ask,70.8
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,67.0
Bid Size,100.0
Closing Price,69.69
Day Change $,1.11
Day Change %,0.016200000000000003
Day High,69.99
Day Low,67.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.62
Ex-dividend Date,No dividend
Historical Volatility,0.799
Last (size),12.0
Last (time),12:59p ET 11/25/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,68.58
Shares Outstanding,40.2M
Short Interest,0.0643
Today's Open,67.92
Volume,222507.0
Volume 10-day Avg,494582.0
Volume Past Day,(Light)
