,UIS
% Above Low,0.0074
% Held by Institutions,0.992
52-Wk Range,['4.05 - 23.10']
Annual Dividend $,
Annual Dividend %,
Ask,4.08
Ask Size,1900.0
B/A Ratio,0.21052631578947367
B/A Size,400x1900
Beta,0.8
Bid,4.05
Bid Size,400.0
Closing Price,4.08
Day Change $,-0.19
Day Change %,-0.044500000000000005
Day High,4.32
Day Low,4.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.65
Ex-dividend Date,No dividend
Historical Volatility,0.845
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,277.3M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,4.27
Shares Outstanding,67.8M
Short Interest,0.0451
Today's Open,4.25
Volume,1065253.0
Volume 10-day Avg,983032.0
Volume Past Day,(Average)
