,UIS
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.7777777777777778
Growth 1yr High Est,-0.6872246696035242
Growth 1yr Consensus Est,-0.732501223690651
Growth 2yr Low Est,-1.0788888888888888
Growth 2yr High Est,-0.6464292362102129
Growth 2yr Consensus Est,-0.8626590625495508
Growth 5yr Low Est,-0.5394444444444444
Growth 5yr High Est,-0.32321461810510643
Growth 5yr Consensus Est,-0.4313295312747754
Growth 5yr Actual/Est,-0.3591155089314268
Growth 3yr Historic,0.02270047169811315
