,LII
Price/Earnings (TTM),19.78977
Price/Sales (TTM),2.06514
Price/Book (MRQ),
Price/Cash Flow (TTM),16.87933
5yr Low,163.4
5yr High,356.36
5yr Avg Return,0.05633333333333334
EPS Growth 5yr,0.1433827
Revenue Growth 5yr,0.028654000000000002
Dividend Growth 5yr,0.1642819
Short Int Current Month,1367077.0
Short Int Prev Month,1480318.0
Short Int Pct of Float,0.0429667
Days to Cover,4.15735
Float,31.81786
Shares Outstanding,35.43876
Institutions Holding Shares,594.0
% Held by Institutions,0.6951149999999999
FCF Growth 5yr,-1.6873050144157882
