,LII
% Below High,0.2011
% Held by Institutions,0.6951
52-Wk Range,['182.85 - 334.78']
Annual Dividend $,4.24
Annual Dividend %,0.0159
Ask,268.2
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,267.44
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-09-15 00:00:00
"EPS (TTM, GAAP)",13.51
Ex-dividend,2022-08-30 00:00:00
Ex-dividend Date,08/30/22
Historical Volatility,0.358
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,9.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.79
Prev Close,267.44
Shares Outstanding,35.4M
Short Interest,0.043
Today's Open,
Volume,51195.0
Volume 10-day Avg,288024.0
Volume Past Day,(Light)
