,SMRT
% Above Low,0.0866
% Held by Institutions,0.4508
52-Wk Range,['2.20 - 11.94']
Annual Dividend $,
Annual Dividend %,
Ask,2.39
Ask Size,2800.0
B/A Ratio,0.6428571428571429
B/A Size,1800x2800
Beta,
Bid,2.38
Bid Size,1800.0
Day Change $,-0.105
Day Change %,-0.042199999999999994
Day High,2.49
Day Low,2.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.52
Ex-dividend Date,No dividend
Historical Volatility,0.891
Last (size),100.0
Last (time),2:41p ET 11/28/22
Market Cap,473.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.49
Price,2.39
Shares Outstanding,198.3M
Short Interest,0.0684
Today's Open,2.47
Volume Past Day,(Light)
