,SMRT
Price/Earnings (TTM),
Price/Sales (TTM),3.04986
Price/Book (MRQ),1.29277
Price/Cash Flow (TTM),
5yr Low,2.2
5yr High,15.14
5yr Avg Return,-0.44839999999999997
Short Int Current Month,9755061.0
Short Int Prev Month,10781293.0
Short Int Pct of Float,0.0683586
Days to Cover,7.96731
Float,143.1803
Shares Outstanding,198.3485
Institutions Holding Shares,139.0
% Held by Institutions,0.45075200000000004
FCF Growth 5yr,0.304737846853207
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
