,AORT
% Above Low,0.3506
% Held by Institutions,0.8783
52-Wk Range,['9.64 - 23.43']
Annual Dividend $,
Annual Dividend %,
Ask,13.8
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,1.4
Bid,5.18
Bid Size,200.0
Closing Price,13.02
Day Change $,0.13
Day Change %,0.0101
Day High,13.09
Day Low,12.68
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.04
Ex-dividend Date,No dividend
Historical Volatility,0.5820000000000001
Last (size),18.0
Last (time),5:00p ET 11/25/22
Market Cap,525.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,12.89
Shares Outstanding,40.3M
Short Interest,0.09539999999999998
Today's Open,12.68
Volume,52422.0
Volume 10-day Avg,212274.0
Volume Past Day,(Light)
