,AORT
Price/Earnings (TTM),
Price/Sales (TTM),1.67341
Price/Book (MRQ),2.05828
Price/Cash Flow (TTM),
5yr Low,9.64
5yr High,36.05
5yr Avg Return,-0.03513333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.1062389
Dividend Growth 5yr,
Short Int Current Month,3519259.0
Short Int Prev Month,3675881.0
Short Int Pct of Float,0.09540290000000001
Days to Cover,11.06804
Float,37.2313
Shares Outstanding,40.32948
Institutions Holding Shares,205.0
% Held by Institutions,0.878294
FCF Growth 5yr,0.9176281459847275
