,IBCP
% Below High,0.0527
% Held by Institutions,0.7861
52-Wk Range,['17.87 - 26.00']
Annual Dividend $,0.88
Annual Dividend %,0.035699999999999996
Ask,39.34
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,9.84
Bid Size,200.0
Closing Price,24.63
Day Change $,0.15
Day Change %,0.0060999999999999995
Day High,24.68
Day Low,24.45
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",2.85
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.263
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,518.8M
"P/E Ratio (TTM, GAAP)",8.65
Prev Close,24.48
Shares Outstanding,21.1M
Short Interest,0.022000000000000002
Today's Open,24.61
Volume,73701.0
Volume 10-day Avg,84270.0
Volume Past Day,(Below Average)
