,ADV
Price/Earnings (TTM),11.71564
Price/Sales (TTM),0.20083
Price/Book (MRQ),0.31474
Price/Cash Flow (TTM),2.62003
5yr Low,1.95
5yr High,13.92
5yr Avg Return,-0.2058
Short Int Current Month,4275916.0
Short Int Prev Month,4806674.0
Short Int Pct of Float,0.053977899999999995
Days to Cover,6.10322
Float,97.55605
Shares Outstanding,319.6844
Institutions Holding Shares,158.0
% Held by Institutions,0.264604
FCF Growth 5yr,0.8427750289900807
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
