,ADV
% Above Low,0.2853
% Held by Institutions,0.2646
52-Wk Range,['1.95 - 8.24']
Annual Dividend $,
Annual Dividend %,
Ask,3.09
Ask Size,43000.0
B/A Ratio,0.002325581395348837
B/A Size,100x43000
Beta,
Bid,2.0
Bid Size,100.0
Closing Price,2.5
Day Change $,0.03
Day Change %,0.0121
Day High,2.51
Day Low,2.48
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.21
Ex-dividend Date,No dividend
Historical Volatility,0.623
Last (size),6.0
Last (time),1:00p ET 11/25/22
Market Cap,799.2M
"P/E Ratio (TTM, GAAP)",11.72
Prev Close,2.47
Shares Outstanding,319.7M
Short Interest,0.054000000000000006
Today's Open,2.48
Volume,112418.0
Volume 10-day Avg,673788.0
Volume Past Day,(Light)
