,PRLB
% Above Low,0.13390000000000002
% Held by Institutions,0.8684000000000001
52-Wk Range,['22.04 - 61.14']
Annual Dividend $,
Annual Dividend %,
Ask,25.0
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.2
Bid,24.93
Bid Size,300.0
Day Change $,-0.7186
Day Change %,-0.027999999999999997
Day High,25.55
Day Low,24.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.85
Ex-dividend Date,No dividend
Historical Volatility,0.584
Last (size),150.0
Last (time),11:34a ET 11/28/22
Market Cap,676.8M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.11
Prev Close,25.71
Price,24.99
Shares Outstanding,27.1M
Short Interest,0.0378
Today's Open,25.19
Volume Past Day,(Light)
