,PRLB
Price/Earnings (TTM),30.10821
Price/Sales (TTM),1.40454
Price/Book (MRQ),0.86647
Price/Cash Flow (TTM),10.93591
5yr Low,22.04
5yr High,286.57
5yr Avg Return,-0.10066666666666667
EPS Growth 5yr,-0.0557458
Revenue Growth 5yr,0.1036773
Dividend Growth 5yr,
Short Int Current Month,1016181.0
Short Int Prev Month,942318.0
Short Int Pct of Float,0.0377971
Days to Cover,1.99013
Float,26.91617
Shares Outstanding,27.11689
Institutions Holding Shares,282.0
% Held by Institutions,0.868398
FCF Growth 5yr,0.2682489713262728
