,PRLB
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.38888888888888884
Growth 1yr High Est,-0.38075313807531386
Growth 1yr Consensus Est,-0.38482101348210135
Growth 2yr Low Est,-0.34479409479409473
Growth 2yr High Est,-0.16672792038900824
Growth 2yr Consensus Est,-0.2557610075915515
Growth 5yr Low Est,-0.20164233041591528
Growth 5yr High Est,-0.11920625410131416
Growth 5yr Consensus Est,-0.16042429225861474
Growth 5yr Actual/Est,-0.19218872088468253
Growth 3yr Historic,-0.1243355506955835
