,FOLD
% Below High,0.1134
% Held by Institutions,1.0022
52-Wk Range,['5.91 - 12.96']
Annual Dividend $,
Annual Dividend %,
Ask,11.5
Ask Size,500.0
B/A Ratio,10.4
B/A Size,5200x500
Beta,0.9
Bid,10.45
Bid Size,5200.0
Closing Price,11.49
Day Change $,0.06
Day Change %,0.0052
Day High,11.64
Day Low,11.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.91
Ex-dividend Date,No dividend
Historical Volatility,0.616
Last (size),1200.0
Last (time),1:00p ET 11/25/22
Market Cap,3.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,11.43
Shares Outstanding,280.9M
Short Interest,0.07490000000000001
Today's Open,11.4
Volume,603825.0
Volume 10-day Avg,2151313.0
Volume Past Day,(Light)
