,FOLD
Price/Earnings (TTM),
Price/Sales (TTM),9.985
Price/Book (MRQ),24.34574
Price/Cash Flow (TTM),
5yr Low,5.91
5yr High,25.39
5yr Avg Return,0.10191666666666664
EPS Growth 5yr,
Revenue Growth 5yr,1.280053
Dividend Growth 5yr,
Short Int Current Month,18878585.0
Short Int Prev Month,18258555.0
Short Int Pct of Float,0.0749305
Days to Cover,6.94149
Float,251.9554
Shares Outstanding,280.9453
Institutions Holding Shares,300.0
% Held by Institutions,1.00224
FCF Growth 5yr,-0.0956142786220547
