,BKU
% Above Low,0.09029999999999999
% Held by Institutions,1.0354999999999999
52-Wk Range,['33.54 - 46.75']
Annual Dividend $,1.0
Annual Dividend %,0.0273
Ask,36.92
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Closing Price,36.57
Day Change $,0.1
Day Change %,0.0027
Day High,36.83
Day Low,36.52
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",4.2
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.34700000000000003
Last (size),37.0
Last (time),5:00p ET 11/25/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",8.7
Prev Close,36.47
Shares Outstanding,77.3M
Short Interest,0.056799999999999996
Today's Open,36.58
Volume,86622.0
Volume 10-day Avg,452498.0
Volume Past Day,(Light)
