,BKU
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.04580152671755733
Growth 1yr High Est,-0.18487394957983194
Growth 1yr Consensus Est,-0.11533773814869464
Growth 2yr Low Est,-0.04823409669211198
Growth 2yr High Est,-0.01898336654249322
Growth 2yr Consensus Est,-0.0336087316173026
Growth 5yr Low Est,-0.04823409669211198
Growth 5yr High Est,-0.01898336654249322
Growth 5yr Consensus Est,-0.0336087316173026
Growth 5yr Actual/Est,0.1680508399572324
Growth 3yr Historic,0.170604702379106
