,PNT
Next Earnings Announcement,2023-03-24 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.2784810126582278
Growth 1yr High Est,0.8269230769230769
Growth 1yr Consensus Est,0.5527020447906523
Growth 2yr Low Est,0.23825040731921288
Growth 2yr High Est,-0.6602226720647776
Growth 2yr Consensus Est,-0.21098613237278235
Growth 5yr Low Est,0.23825040731921288
Growth 5yr High Est,-0.6602226720647776
Growth 5yr Consensus Est,-0.21098613237278235
Growth 5yr Actual/Est,0.18947455936148988
Growth 3yr Historic,0.0
