,PNT
% Above Low,0.5647
% Held by Institutions,0.5690999999999999
52-Wk Range,['4.25 - 10.98']
Annual Dividend $,
Annual Dividend %,
Ask,6.68
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,
Bid,6.63
Bid Size,100.0
Day Change $,-0.05
Day Change %,-0.0075
Day High,6.84
Day Low,6.56
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.87
Ex-dividend Date,No dividend
Historical Volatility,1.0070000000000001
Last (size),12.0
Last (time),11:11a ET 11/28/22
Market Cap,702.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.7
Price,6.65
Shares Outstanding,105.6M
Short Interest,0.0815
Today's Open,6.65
Volume Past Day,(Light)
