,WDFC
% Above Low,0.18460000000000001
% Held by Institutions,0.9209
52-Wk Range,['145.16 - 255.31']
Annual Dividend $,3.12
Annual Dividend %,0.0178
Ask,174.5
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,-0.2
Bid,171.95
Bid Size,200.0
Closing Price,171.95
Day Change $,-3.38
Day Change %,-0.019299999999999998
Day High,175.1
Day Low,171.01
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",4.9
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.4
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,2.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",35.81
Prev Close,175.33
Shares Outstanding,13.6M
Short Interest,0.0924
Today's Open,173.75
Volume,73925.0
Volume 10-day Avg,82056.0
Volume Past Day,(Average)
