,MNRL
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,4.897435897435897
Growth 1yr High Est,2.9268292682926833
Growth 1yr Consensus Est,3.91213258286429
Growth 2yr Low Est,2.3335005574136005
Growth 2yr High Est,1.4432282987426148
Growth 2yr Consensus Est,1.8883644280781078
Growth 5yr Low Est,1.1667502787068003
Growth 5yr High Est,0.7216141493713074
Growth 5yr Consensus Est,0.9441822140390539
Growth 5yr Actual/Est,0.5902063577058826
Growth 3yr Historic,0.22149122807017546
