,MNRL
% Below High,0.0329
% Held by Institutions,0.7954000000000001
52-Wk Range,['19.37 - 36.49']
Annual Dividend $,3.03
Annual Dividend %,0.0859
Ask,35.01
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.9
Bid,24.24
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,35.29
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",2.43
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.45
Last (size),10.0
Last (time),5:00p ET 11/25/22
Last Trade,35.29
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",14.54
Prev Close,35.29
Shares Outstanding,54.2M
Short Interest,0.0235
Today's Open,
Volume,55.0
Volume 10-day Avg,468538.0
Volume Past Day,(Light)
