,EXLS
% Below High,0.0206
% Held by Institutions,0.9734
52-Wk Range,['112.14 - 191.18']
Annual Dividend $,
Annual Dividend %,
Ask,187.87
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.0
Bid,186.59
Bid Size,400.0
Closing Price,187.23
Day Change $,1.67
Day Change %,0.009000000000000001
Day High,188.65
Day Low,184.54
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.12
Ex-dividend Date,No dividend
Historical Volatility,0.36700000000000005
Last (size),21.0
Last (time),1:00p ET 11/25/22
Market Cap,6.2B
"P/E Ratio (TTM, GAAP)",45.47
Prev Close,185.56
Shares Outstanding,33.1M
Short Interest,0.0297
Today's Open,184.54
Volume,40151.0
Volume 10-day Avg,230609.0
Volume Past Day,(Light)
