,EXLS
Price/Earnings (TTM),45.47188
Price/Sales (TTM),4.64477
Price/Book (MRQ),8.78269
Price/Cash Flow (TTM),31.97223
5yr Low,40.61
5yr High,191.18
5yr Avg Return,0.23298333333333335
EPS Growth 5yr,0.1341182
Revenue Growth 5yr,0.1034634
Dividend Growth 5yr,
Short Int Current Month,956376.0
Short Int Prev Month,1089942.0
Short Int Pct of Float,0.029748899999999998
Days to Cover,3.80806
Float,31.88749
Shares Outstanding,33.06461
Institutions Holding Shares,423.0
% Held by Institutions,0.973395
FCF Growth 5yr,-0.49153073889909243
