,EXLS
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.24210526315789482
Growth 1yr High Est,0.21052631578947367
Growth 1yr Consensus Est,0.22631578947368425
Growth 2yr Low Est,0.1634255129348796
Growth 2yr High Est,0.17131666960042236
Growth 2yr Consensus Est,0.16737109126765098
Growth 5yr Low Est,0.2135829115061995
Growth 5yr High Est,0.2262013083622315
Growth 5yr Consensus Est,0.2198921099342155
Growth 5yr Actual/Est,0.21327030286931697
Growth 3yr Historic,0.1276666941701734
