,APPF
Price/Earnings (TTM),
Price/Sales (TTM),9.19339
Price/Book (MRQ),14.98249
Price/Cash Flow (TTM),
5yr Low,37.56
5yr High,186.59
5yr Avg Return,0.2558166666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.277577
Dividend Growth 5yr,
Short Int Current Month,585637.0
Short Int Prev Month,683925.0
Short Int Pct of Float,0.0309586
Days to Cover,3.55714
Float,18.76024
Shares Outstanding,35.16113
Institutions Holding Shares,213.0
% Held by Institutions,0.78608
FCF Growth 5yr,-1.651373505743308
