,APPF
% Below High,0.1039
% Held by Institutions,0.7861
52-Wk Range,['79.92 - 129.39']
Annual Dividend $,
Annual Dividend %,
Ask,187.53
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,105.63
Bid Size,100.0
Closing Price,115.94
Day Change $,-0.96
Day Change %,-0.008199999999999999
Day High,117.89
Day Low,115.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.43
Ex-dividend Date,No dividend
Historical Volatility,0.478
Last (size),9.0
Last (time),12:59p ET 11/25/22
Market Cap,4.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,116.9
Shares Outstanding,35.2M
Short Interest,0.031
Today's Open,116.73
Volume,21883.0
Volume 10-day Avg,87901.0
Volume Past Day,(Light)
