,MSEX
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.212264150943396
Growth 1yr High Est,0.1843317972350229
Growth 1yr Consensus Est,0.19829797408920946
Growth 2yr Low Est,0.06916709492695094
Growth 2yr High Est,0.1466406067887177
Growth 2yr Consensus Est,0.10790385085783433
Growth 5yr Low Est,0.0563784192583473
Growth 5yr High Est,0.09457030339435885
Growth 5yr Consensus Est,0.07547436132635307
Growth 5yr Actual/Est,0.07377988636740632
Growth 3yr Historic,0.008529599707882612
