,MSEX
% Above Low,0.277
% Held by Institutions,0.7006999999999999
52-Wk Range,['74.20 - 121.43']
Annual Dividend $,1.25
Annual Dividend %,0.0132
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Closing Price,94.75
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.4
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.305
Last (size),8.0
Last (time),1:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.49
Prev Close,94.75
Shares Outstanding,17.6M
Short Interest,0.0378
Today's Open,
Volume,28569.0
Volume 10-day Avg,70594.0
Volume Past Day,(Light)
