,MSEX
Price/Earnings (TTM),39.48558
Price/Sales (TTM),10.60207
Price/Book (MRQ),4.19821
Price/Cash Flow (TTM),23.19322
5yr Low,33.96
5yr High,121.43
5yr Avg Return,0.16468333333333335
EPS Growth 5yr,0.0845278
Revenue Growth 5yr,0.0149482
Dividend Growth 5yr,0.06522230000000001
Short Int Current Month,654700.0
Short Int Prev Month,708917.0
Short Int Pct of Float,0.0378393
Days to Cover,7.82582
Float,17.32404
Shares Outstanding,17.63859
Institutions Holding Shares,255.0
% Held by Institutions,0.70069
FCF Growth 5yr,1.1650648451235543
