,MPC
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6304721030042919
Growth 2yr High Est,0.1274914089347079
Growth 2yr Consensus Est,-0.251490347034792
Growth 5yr Low Est,-0.6304721030042919
Growth 5yr High Est,0.1274914089347079
Growth 5yr Consensus Est,-0.251490347034792
Growth 5yr Actual/Est,1.4181437945512723
Growth 3yr Historic,-0.8521413944073063
