,MPC
Price/Earnings (TTM),5.49519
Price/Sales (TTM),0.33649
Price/Book (MRQ),2.23231
Price/Cash Flow (TTM),3.50411
5yr Low,15.26
5yr High,127.35
5yr Avg Return,0.19135000000000002
EPS Growth 5yr,-0.0182191
Revenue Growth 5yr,0.1380895
Dividend Growth 5yr,0.11273
Short Int Current Month,12815165.0
Short Int Prev Month,13811721.0
Short Int Pct of Float,0.0274397
Days to Cover,3.73878
Float,466.9808
Shares Outstanding,468.6608
Institutions Holding Shares,1608.0
% Held by Institutions,0.761416
FCF Growth 5yr,1.0363461052111071
