,ROST
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.08817204301075277
Growth 1yr High Est,-0.1487279843444228
Growth 1yr Consensus Est,-0.11845001367758778
Growth 2yr Low Est,-0.0063501724487727285
Growth 2yr High Est,0.04747508828755881
Growth 2yr Consensus Est,0.02056245791939304
Growth 5yr Low Est,0.0028821824980806154
Growth 5yr High Est,0.05025269565893095
Growth 5yr Consensus Est,0.026567439078505783
Growth 5yr Actual/Est,1.1153070297252297
Growth 3yr Historic,1.103288740245262
