,ROST
% Below High,0.0060999999999999995
% Held by Institutions,0.8998999999999999
52-Wk Range,['69.24 - 117.29']
Annual Dividend $,1.24
Annual Dividend %,0.010700000000000001
Ask,116.62
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,116.57
Bid Size,200.0
Day Change $,0.6304
Day Change %,0.0054
Day High,117.17
Day Low,115.61
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",4.12
Ex-dividend,2022-12-05 00:00:00
Ex-dividend Date,12/05/22
Historical Volatility,0.47200000000000003
Last (size),166.0
Last (time),1:11p ET 11/28/22
Market Cap,40.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.14
Prev Close,115.94
Price,116.57
Shares Outstanding,347.1M
Short Interest,0.0181
Today's Open,115.71
Volume Past Day,(Light)
