,USM
% Above Low,0.001
% Held by Institutions,0.2606
52-Wk Range,['20.34 - 33.00']
Annual Dividend $,
Annual Dividend %,
Ask,20.57
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,20.15
Bid Size,100.0
Closing Price,20.36
Day Change $,-1.06
Day Change %,-0.0495
Day High,21.89
Day Low,20.34
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.98
Ex-dividend Date,No dividend
Historical Volatility,0.40399999999999997
Last (size),143.0
Last (time),7:00p ET 11/28/22
Market Cap,1.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",21.75
Prev Close,21.42
Shares Outstanding,85.2M
Short Interest,0.0582
Today's Open,21.25
Volume,340074.0
Volume 10-day Avg,276852.0
Volume Past Day,(Heavy Day)
