,OGS
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.06005221932114879
Growth 1yr High Est,0.05699481865284972
Growth 1yr Consensus Est,0.05852351898699926
Growth 2yr Low Est,0.06327734118766803
Growth 2yr High Est,0.06893858579701306
Growth 2yr Consensus Est,0.06610796349234055
Growth 5yr Low Est,0.056976887052367475
Growth 5yr High Est,0.05806077171102192
Growth 5yr Consensus Est,0.0575188293816947
Growth 5yr Actual/Est,0.05637040786497316
Growth 3yr Historic,0.02365717515174043
