,OGS
Price/Earnings (TTM),22.19174
Price/Sales (TTM),2.03196
Price/Book (MRQ),1.95481
Price/Cash Flow (TTM),10.97908
5yr Low,62.2
5yr High,96.97
5yr Avg Return,0.028983333333333333
EPS Growth 5yr,0.0777384
Revenue Growth 5yr,0.0485024
Dividend Growth 5yr,0.10629759999999999
Short Int Current Month,1896535.0
Short Int Prev Month,1693644.0
Short Int Pct of Float,0.0356965
Days to Cover,4.72432
Float,53.13163
Shares Outstanding,54.14104
Institutions Holding Shares,411.0
% Held by Institutions,0.850506
FCF Growth 5yr,7.1841539471524705
