,OGS
% Below High,0.0426
% Held by Institutions,0.8504999999999999
52-Wk Range,['64.37 - 92.26']
Annual Dividend $,2.48
Annual Dividend %,0.0281
Ask,90.0
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.6
Bid,65.08
Bid Size,1000.0
Closing Price,88.33
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.98
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.263
Last (size),26.0
Last (time),5:00p ET 11/25/22
Market Cap,4.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.19
Prev Close,88.33
Shares Outstanding,54.1M
Short Interest,0.035699999999999996
Today's Open,
Volume,146783.0
Volume 10-day Avg,308109.0
Volume Past Day,(Light)
