,BERY
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.14819944598337942
Growth 1yr High Est,0.08783783783783794
Growth 1yr Consensus Est,-0.03018080407277074
Growth 2yr Low Est,-0.017189153885998676
Growth 2yr High Est,0.08118599966426054
Growth 2yr Consensus Est,0.031998422889130934
Growth 5yr Low Est,0.07742945296488975
Growth 5yr High Est,0.14388958010779182
Growth 5yr Consensus Est,0.11065951653634078
Growth 5yr Actual/Est,0.14445599336061765
Growth 3yr Historic,0.11793458940632778
