,BERY
% Above Low,0.28440000000000004
% Held by Institutions,0.9556999999999999
52-Wk Range,['44.52 - 74.73']
Annual Dividend $,
Annual Dividend %,
Ask,57.57
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,
Bid Size,
Closing Price,57.18
Day Change $,0.28
Day Change %,0.0049
Day High,57.61
Day Low,56.92
Dividend Pay Date,12/15/22
"EPS (TTM, GAAP)",5.82
Ex-dividend Date,11/30/22
Historical Volatility,0.355
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,7.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.82
Prev Close,56.9
Shares Outstanding,124.1M
Short Interest,0.014499999999999999
Today's Open,57.16
Volume,495681.0
Volume 10-day Avg,1109655.0
Volume Past Day,(Light)
