,HURN
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.2890625
Growth 1yr High Est,0.27969348659003823
Growth 1yr Consensus Est,0.2843779932950191
Growth 2yr Low Est,0.2263494318181818
Growth 2yr High Est,0.24912818042076768
Growth 2yr Consensus Est,0.23773880611947473
Growth 5yr Low Est,0.2358669414735591
Growth 5yr High Est,0.25102135104974255
Growth 5yr Consensus Est,0.2434441462616508
Growth 5yr Actual/Est,0.1173102933410716
Growth 3yr Historic,-0.0003437446952979373
