,HURN
% Below High,0.0387
% Held by Institutions,0.96
52-Wk Range,['42.66 - 78.38']
Annual Dividend $,
Annual Dividend %,
Ask,77.5
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.6
Bid,30.37
Bid Size,200.0
Closing Price,75.35
Day Change $,0.39
Day Change %,0.0052
Day High,76.84
Day Low,75.28
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.23
Ex-dividend Date,No dividend
Historical Volatility,0.33299999999999996
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.8
Prev Close,74.96
Shares Outstanding,19.9M
Short Interest,0.015700000000000002
Today's Open,75.28
Volume,31015.0
Volume 10-day Avg,92115.0
Volume Past Day,(Light)
