,PRVB
% Below High,0.034
% Held by Institutions,0.479
52-Wk Range,['3.19 - 9.85']
Annual Dividend $,
Annual Dividend %,
Ask,9.53
Ask Size,200.0
B/A Ratio,8.5
B/A Size,1700x200
Beta,2.4
Bid,9.5
Bid Size,1700.0
Day Change $,0.015
Day Change %,0.0016
Day High,9.64
Day Low,9.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.56
Ex-dividend Date,No dividend
Historical Volatility,0.886
Last (size),413.0
Last (time),11:41a ET 11/28/22
Market Cap,830.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,9.5
Price,9.52
Shares Outstanding,87.2M
Short Interest,0.073
Today's Open,9.45
Volume Past Day,(Light)
