,PRVB
Price/Earnings (TTM),
Price/Sales (TTM),295.9312
Price/Book (MRQ),5.71264
Price/Cash Flow (TTM),
5yr Low,1.52
5yr High,22.82
5yr Avg Return,1.3513799999999998
Short Int Current Month,5968641.0
Short Int Prev Month,5260054.0
Short Int Pct of Float,0.0729664
Days to Cover,2.13191
Float,81.79982
Shares Outstanding,87.19067
Institutions Holding Shares,156.0
% Held by Institutions,0.479043
FCF Growth 5yr,0.5386721933588696
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
