,PRVB
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.2437810945273633
Growth 1yr High Est,-0.2777777777777778
Growth 1yr Consensus Est,-0.016998341625207247
Growth 2yr Low Est,0.0538905472636817
Growth 2yr High Est,-0.14658119658119662
Growth 2yr Consensus Est,-0.04634532465875746
Growth 5yr Low Est,0.22964797633454348
Growth 5yr High Est,0.11360260559289681
Growth 5yr Consensus Est,0.17162529096372015
Growth 5yr Actual/Est,0.18286345661054831
Growth 3yr Historic,0.18408771577679645
