,SNDX
% Below High,0.1709
% Held by Institutions,0.9936
52-Wk Range,['13.27 - 26.51']
Annual Dividend $,
Annual Dividend %,
Ask,22.01
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,21.94
Bid Size,100.0
Day Change $,0.08
Day Change %,0.0037
Day High,22.29
Day Low,21.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.22
Ex-dividend Date,No dividend
Historical Volatility,0.555
Last (size),10.0
Last (time),2:47p ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,21.9
Price,21.98
Shares Outstanding,60.2M
Short Interest,0.0736
Today's Open,21.89
Volume Past Day,(Light)
