,SNDX
Price/Earnings (TTM),
Price/Sales (TTM),10.41978
Price/Book (MRQ),3.89435
Price/Cash Flow (TTM),
5yr Low,3.39
5yr High,27.85
5yr Avg Return,0.33865
EPS Growth 5yr,
Revenue Growth 5yr,1.58091
Dividend Growth 5yr,
Short Int Current Month,4177168.0
Short Int Prev Month,4067212.0
Short Int Pct of Float,0.0736193
Days to Cover,4.39167
Float,57.43042
Shares Outstanding,60.2235
Institutions Holding Shares,199.0
% Held by Institutions,0.993591
FCF Growth 5yr,0.0
