,PVH
Price/Earnings (TTM),4.8414
Price/Sales (TTM),0.45772
Price/Book (MRQ),0.79736
Price/Cash Flow (TTM),3.35954
5yr Low,28.4
5yr High,169.22
5yr Avg Return,-0.10285
EPS Growth 5yr,0.1430998
Revenue Growth 5yr,0.0221938
Dividend Growth 5yr,
Short Int Current Month,2474713.0
Short Int Prev Month,2371089.0
Short Int Pct of Float,0.0381631
Days to Cover,2.4237
Float,64.85625
Shares Outstanding,65.22122
Institutions Holding Shares,479.0
% Held by Institutions,0.9511879999999999
FCF Growth 5yr,-0.24228861503624596
