,SPT
Price/Earnings (TTM),
Price/Sales (TTM),13.77234
Price/Book (MRQ),23.40183
Price/Cash Flow (TTM),
5yr Low,10.54
5yr High,145.42
5yr Avg Return,0.5744999999999999
Short Int Current Month,4511038.0
Short Int Prev Month,4799386.0
Short Int Pct of Float,0.0971505
Days to Cover,5.30575
Float,46.40689
Shares Outstanding,54.83831
Institutions Holding Shares,337.0
% Held by Institutions,0.998113
FCF Growth 5yr,-0.13666055039301947
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
