,SPT
% Above Low,0.5147
% Held by Institutions,0.9981
52-Wk Range,['38.39 - 117.07']
Annual Dividend $,
Annual Dividend %,
Ask,58.15
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,
Bid,57.97
Bid Size,300.0
Day Change $,-1.48
Day Change %,-0.0248
Day High,60.39
Day Low,57.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.89
Ex-dividend Date,No dividend
Historical Volatility,0.9740000000000001
Last (size),100.0
Last (time),3:05p ET 11/28/22
Market Cap,3.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,59.63
Price,58.15
Shares Outstanding,54.8M
Short Interest,0.09720000000000001
Today's Open,58.78
Volume Past Day,(Average)
