,B
% Below High,0.1711
% Held by Institutions,0.8317
52-Wk Range,['27.93 - 48.79']
Annual Dividend $,0.64
Annual Dividend %,0.0158
Ask,40.4
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,19.84
Bid Size,100.0
Closing Price,40.44
Day Change $,0.3
Day Change %,0.0075
Day High,40.74
Day Low,39.88
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",0.51
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.334
Last (size),23.0
Last (time),5:00p ET 11/25/22
Market Cap,2.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",79.54
Prev Close,40.14
Shares Outstanding,50.6M
Short Interest,0.020099999999999996
Today's Open,40.2
Volume,75271.0
Volume 10-day Avg,155452.0
Volume Past Day,(Light)
